Epoch 0 train AUC 0.510 (cont: 0.034, recon: 0.000) protein
Epoch 9 test AUC 0.449 (cont: 0.173, recon: 0.000) dna
Epoch 10 train AUC 0.611 (cont: 0.042, recon: 0.000) molecule
Epoch 10 valid AUC 0.605 (cont: 0.136, recon: 0.000) molecule
Epoch 10 test AUC 0.625 (cont: 0.255, recon: 0.000) molecule
Epoch 11 train AUC 0.671 (cont: 0.032, recon: 0.000) text
Epoch 11 valid AUC 0.608 (cont: 0.136, recon: 0.000) text
Epoch 11 test AUC 0.612 (cont: 0.341, recon: 0.000) text
Epoch 12 train AUC 0.776 (cont: 0.246, recon: 0.000) protein
Epoch 12 valid AUC 0.725 (cont: 0.262, recon: 0.000) protein
Epoch 12 test AUC 0.655 (cont: 0.340, recon: 0.000) protein
Epoch 13 train AUC 0.610 (cont: 0.006, recon: 0.000) dna
Epoch 13 valid AUC 0.445 (cont: 0.103, recon: 0.000) dna
Epoch 13 test AUC 0.462 (cont: 0.172, recon: 0.000) dna
Epoch 14 train AUC 0.673 (cont: 0.042, recon: 0.000) molecule
Epoch 14 valid AUC 0.652 (cont: 0.135, recon: 0.000) molecule
Epoch 14 test AUC 0.676 (cont: 0.252, recon: 0.000) molecule
Epoch 15 train AUC 0.736 (cont: 0.032, recon: 0.000) text
Epoch 15 valid AUC 0.649 (cont: 0.135, recon: 0.000) text
Epoch 15 test AUC 0.650 (cont: 0.338, recon: 0.000) text
Epoch 16 train AUC 0.841 (cont: 0.237, recon: 0.000) protein
Epoch 16 valid AUC 0.748 (cont: 0.255, recon: 0.000) protein
Epoch 16 test AUC 0.698 (cont: 0.338, recon: 0.000) protein
Epoch 17 train AUC 0.663 (cont: 0.006, recon: 0.000) dna
Epoch 17 valid AUC 0.451 (cont: 0.103, recon: 0.000) dna
Epoch 17 test AUC 0.469 (cont: 0.172, recon: 0.000) dna
Epoch 18 train AUC 0.727 (cont: 0.041, recon: 0.000) molecule
Epoch 18 valid AUC 0.687 (cont: 0.134, recon: 0.000) molecule
Epoch 18 test AUC 0.714 (cont: 0.249, recon: 0.000) molecule
Epoch 19 train AUC 0.790 (cont: 0.031, recon: 0.000) text
Epoch 19 valid AUC 0.678 (cont: 0.134, recon: 0.000) text
Epoch 19 test AUC 0.681 (cont: 0.336, recon: 0.000) text
Epoch 20 train AUC 0.888 (cont: 0.226, recon: 0.000) protein
Epoch 20 valid AUC 0.768 (cont: 0.247, recon: 0.000) protein
Epoch 20 test AUC 0.730 (cont: 0.335, recon: 0.000) protein
Epoch 21 train AUC 0.718 (cont: 0.006, recon: 0.000) dna
Epoch 21 valid AUC 0.457 (cont: 0.102, recon: 0.000) dna
Epoch 21 test AUC 0.487 (cont: 0.172, recon: 0.000) dna
Epoch 22 train AUC 0.774 (cont: 0.041, recon: 0.000) molecule
Epoch 22 valid AUC 0.713 (cont: 0.132, recon: 0.000) molecule
Epoch 22 test AUC 0.741 (cont: 0.245, recon: 0.000) molecule
Epoch 23 train AUC 0.834 (cont: 0.031, recon: 0.000) text
Epoch 23 valid AUC 0.701 (cont: 0.133, recon: 0.000) text
Epoch 23 test AUC 0.706 (cont: 0.333, recon: 0.000) text
Epoch 24 train AUC 0.921 (cont: 0.215, recon: 0.000) protein
Epoch 24 valid AUC 0.785 (cont: 0.240, recon: 0.000) protein
Epoch 24 test AUC 0.753 (cont: 0.333, recon: 0.000) protein
Epoch 25 train AUC 0.773 (cont: 0.005, recon: 0.000) dna
Epoch 25 valid AUC 0.465 (cont: 0.102, recon: 0.000) dna
Epoch 25 test AUC 0.490 (cont: 0.172, recon: 0.000) dna
Epoch 26 train AUC 0.813 (cont: 0.040, recon: 0.000) molecule
Epoch 26 valid AUC 0.732 (cont: 0.131, recon: 0.000) molecule
Epoch 26 test AUC 0.763 (cont: 0.242, recon: 0.000) molecule
Epoch 27 train AUC 0.870 (cont: 0.030, recon: 0.000) text
Epoch 27 valid AUC 0.720 (cont: 0.131, recon: 0.000) text
Epoch 27 test AUC 0.726 (cont: 0.330, recon: 0.000) text
Epoch 28 train AUC 0.943 (cont: 0.203, recon: 0.000) protein
Epoch 28 valid AUC 0.798 (cont: 0.234, recon: 0.000) protein
Epoch 28 test AUC 0.772 (cont: 0.330, recon: 0.000) protein
Epoch 29 train AUC 0.822 (cont: 0.005, recon: 0.000) dna
Epoch 29 valid AUC 0.470 (cont: 0.102, recon: 0.000) dna
Epoch 29 test AUC 0.495 (cont: 0.172, recon: 0.000) dna
Epoch 30 train AUC 0.846 (cont: 0.040, recon: 0.000) molecule
Epoch 30 valid AUC 0.747 (cont: 0.129, recon: 0.000) molecule
Epoch 30 test AUC 0.779 (cont: 0.238, recon: 0.000) molecule
Epoch 31 train AUC 0.898 (cont: 0.030, recon: 0.000) text
Epoch 31 valid AUC 0.735 (cont: 0.130, recon: 0.000) text
Epoch 31 test AUC 0.742 (cont: 0.328, recon: 0.000) text
Epoch 32 train AUC 0.959 (cont: 0.193, recon: 0.000) protein
Epoch 32 valid AUC 0.809 (cont: 0.228, recon: 0.000) protein
Epoch 32 test AUC 0.787 (cont: 0.327, recon: 0.000) protein
Epoch 33 train AUC 0.869 (cont: 0.005, recon: 0.000) dna
Epoch 33 valid AUC 0.476 (cont: 0.102, recon: 0.000) dna
Epoch 33 test AUC 0.510 (cont: 0.172, recon: 0.000) dna
Epoch 34 train AUC 0.874 (cont: 0.039, recon: 0.000) molecule
Epoch 34 valid AUC 0.757 (cont: 0.128, recon: 0.000) molecule
Epoch 34 test AUC 0.792 (cont: 0.235, recon: 0.000) molecule
Epoch 35 train AUC 0.920 (cont: 0.029, recon: 0.000) text
Epoch 35 valid AUC 0.746 (cont: 0.129, recon: 0.000) text
Epoch 35 test AUC 0.755 (cont: 0.325, recon: 0.000) text
Epoch 36 train AUC 0.970 (cont: 0.182, recon: 0.000) protein
Epoch 36 valid AUC 0.817 (cont: 0.222, recon: 0.000) protein
Epoch 36 test AUC 0.800 (cont: 0.324, recon: 0.000) protein
Epoch 37 train AUC 0.906 (cont: 0.005, recon: 0.000) dna
Epoch 37 valid AUC 0.480 (cont: 0.102, recon: 0.000) dna
Epoch 37 test AUC 0.513 (cont: 0.172, recon: 0.000) dna
Epoch 38 train AUC 0.897 (cont: 0.039, recon: 0.000) molecule
Epoch 38 valid AUC 0.765 (cont: 0.126, recon: 0.000) molecule
Epoch 38 test AUC 0.802 (cont: 0.231, recon: 0.000) molecule
Epoch 39 train AUC 0.936 (cont: 0.029, recon: 0.000) text
Epoch 39 valid AUC 0.754 (cont: 0.127, recon: 0.000) text
Epoch 39 test AUC 0.764 (cont: 0.322, recon: 0.000) text
Epoch 40 train AUC 0.977 (cont: 0.173, recon: 0.000) protein
Epoch 40 valid AUC 0.823 (cont: 0.218, recon: 0.000) protein
Epoch 40 test AUC 0.810 (cont: 0.321, recon: 0.000) protein
Epoch 41 train AUC 0.935 (cont: 0.005, recon: 0.000) dna
Epoch 41 valid AUC 0.484 (cont: 0.102, recon: 0.000) dna
Epoch 41 test AUC 0.523 (cont: 0.172, recon: 0.000) dna
Epoch 42 train AUC 0.916 (cont: 0.038, recon: 0.000) molecule
Epoch 42 valid AUC 0.770 (cont: 0.125, recon: 0.000) molecule
Epoch 42 test AUC 0.810 (cont: 0.227, recon: 0.000) molecule
Epoch 43 train AUC 0.948 (cont: 0.028, recon: 0.000) text
Epoch 43 valid AUC 0.761 (cont: 0.126, recon: 0.000) text
Epoch 43 test AUC 0.772 (cont: 0.319, recon: 0.000) text
Epoch 44 train AUC 0.982 (cont: 0.164, recon: 0.000) protein
Epoch 44 valid AUC 0.828 (cont: 0.213, recon: 0.000) protein
Epoch 44 test AUC 0.817 (cont: 0.318, recon: 0.000) protein
Epoch 45 train AUC 0.956 (cont: 0.005, recon: 0.000) dna
Epoch 45 valid AUC 0.488 (cont: 0.102, recon: 0.000) dna
Epoch 45 test AUC 0.528 (cont: 0.172, recon: 0.000) dna
Epoch 46 train AUC 0.930 (cont: 0.037, recon: 0.000) molecule
Epoch 46 valid AUC 0.774 (cont: 0.123, recon: 0.000) molecule
Epoch 46 test AUC 0.816 (cont: 0.224, recon: 0.000) molecule
Epoch 47 train AUC 0.957 (cont: 0.028, recon: 0.000) text
Epoch 47 valid AUC 0.766 (cont: 0.125, recon: 0.000) text
Epoch 47 test AUC 0.779 (cont: 0.316, recon: 0.000) text
Epoch 48 train AUC 0.986 (cont: 0.156, recon: 0.000) protein
Epoch 48 valid AUC 0.832 (cont: 0.210, recon: 0.000) protein
Epoch 48 test AUC 0.823 (cont: 0.315, recon: 0.000) protein
Epoch 49 train AUC 0.971 (cont: 0.005, recon: 0.000) dna
Epoch 49 valid AUC 0.488 (cont: 0.102, recon: 0.000) dna
Epoch 49 test AUC 0.528 (cont: 0.172, recon: 0.000) dna
